STN,MMDDYY,EVAP
,05/08/2015,2.6
,05/09/2015,1.6
,05/10/2015,3.7
,05/11/2015,4
,05/12/2015,2.2
,05/13/2015,3.6
,05/14/2015,1.8
,05/15/2015,2.7
,05/16/2015,1.3
,05/17/2015,2.7
,05/18/2015,1
,05/19/2015,2.2
,05/20/2015,2.8
,05/21/2015,2.8
,05/22/2015,3
,05/23/2015,2.9
,05/24/2015,4.3
,05/25/2015,2.6
,05/26/2015,2.6
,05/27/2015,2.1
,05/28/2015,2.6
,05/29/2015,1.7
,05/30/2015,2.3
,05/31/2015,1.4
,06/01/2015,3.3
,06/02/2015,0.7
,06/03/2015,2.7
,06/04/2015,4.7
,06/05/2015,5.1
,06/06/2015,4.7
,06/07/2015,4.2
,06/08/2015,4
,06/09/2015,2.7
,06/10/2015,4.5
,06/11/2015,4.9
,06/12/2015,5.2
,06/13/2015,2.5
,06/14/2015,1.3
,06/15/2015,3.6
,06/16/2015,3
,06/17/2015,3.1
,06/18/2015,2.1
,06/19/2015,2.2
,06/20/2015,1.5
,06/21/2015,2.1
,06/22/2015,2.2
,06/23/2015,1.4
,06/24/2015,2.5
,06/25/2015,3.6
,06/26/2015,2.4
,06/27/2015,3.9
,06/28/2015,2.1
,06/29/2015,3.9
,06/30/2015,5.2
,07/01/2015,5.6
,07/02/2015,5.6
,07/03/2015,5
,07/04/2015,4.8
,07/05/2015,2.6
,07/06/2015,4.8
,07/07/2015,2.8
,07/08/2015,2.7
,07/09/2015,3.5
,07/10/2015,2.7
,07/11/2015,4.2
,07/12/2015,1.2
,07/13/2015,1.5
,07/14/2015,2.1
,07/15/2015,2.3
,07/16/2015,3.3
,07/17/2015,3.2
,07/18/2015,4.6
,07/19/2015,1
,07/20/2015,3.9
,07/21/2015,4.8
,07/22/2015,4
,07/23/2015,2.4
,07/24/2015,2.4
,07/25/2015,2
,07/26/2015,3.2
,07/27/2015,1.2
,07/28/2015,2.4
,07/29/2015,2.3
,07/30/2015,2.5
,07/31/2015,3.5
,08/01/2015,3.7
,08/02/2015,4
,08/03/2015,4.6
,08/04/2015,0.7
,08/05/2015,4
,08/06/2015,4.4
,08/07/2015,3.7
,08/08/2015,3.8
,08/09/2015,4.1
,08/10/2015,0.9
,08/11/2015,2.4
,08/12/2015,2.6
,08/13/2015,4
,08/14/2015,2.7
,08/15/2015,2.6
,08/16/2015,0.4
,08/17/2015,0.5
,08/18/2015,0.8
,08/19/2015,2.4
,08/20/2015,3.3
,08/21/2015,3.7
,08/22/2015,3.7
,08/23/2015,3.8
,08/24/2015,2
,08/25/2015,2.8
,08/26/2015,2.5
,08/27/2015,0.9
,08/28/2015,2.7
,08/29/2015,2.8
,08/30/2015,2.6
,08/31/2015,2.5
,09/01/2015,1.3
,09/02/2015,2.4
,09/03/2015,1.8
,09/04/2015,1.4
,09/05/2015,2.1
,09/06/2015,1.8
,09/07/2015,1.9
,09/08/2015,1.9
,09/09/2015,2.6
,09/10/2015,2.6
,09/11/2015,2
,09/12/2015,1.4
,09/13/2015,1.2
,09/14/2015,1.2
,09/15/2015,1.5
,09/16/2015,0.8
,09/17/2015,0.7
,09/18/2015,2.1
,09/19/2015,1.8
,09/20/2015,1.2
,09/21/2015,0.9
,09/22/2015,1.2
,09/23/2015,1.3
,09/24/2015,0.8
,09/25/2015,1.8
