233338.103444 598387.399643      1 0.000000
233338.098335 598287.395866      1 0.000000
233363.097779 598262.358651      1 0.000000
233388.097665 598237.401453      1 0.000000
233413.097100 598212.354279      1 0.000000
233438.105501 598212.355435      1 0.000000
233463.103889 598212.356696      1 0.000000
233488.103858 598187.399571      1 0.000000
233513.102202 598187.400801      1 0.000000
233538.101712 598162.363594      1 0.000000
233563.100008 598162.354879      1 0.000000
233588.099998 598137.397688      1 0.000000
233613.099371 598112.360566      1 0.000000
233638.099267 598087.403330      1 0.000000
233663.097625 598087.394543      1 0.000000
233688.097043 598062.357375      1 0.000000
233713.096902 598037.400232      1 0.000000
233738.106348 598012.362902      1 0.000000
233763.106108 597987.395801      1 0.000000
233788.105526 597962.358550      1 0.000000
233813.105458 597937.401485      1 0.000000
233838.104776 597912.354286      1 0.000000
233863.103236 597912.355561      1 0.000000
233888.103041 597887.398431      1 0.000000
233913.101456 597887.399525      1 0.000000
233938.099792 597887.400899      1 0.000000
233963.099170 597862.353613      1 0.000000
233988.097563 597862.354945      1 0.000000
234013.097417 597837.397728      1 0.000000
234038.106798 597812.360464      1 0.000000
234063.106553 597787.393428      1 0.000000
234088.104918 597787.394550      1 0.000000
234113.104310 597762.357505      1 0.000000
234138.104214 597737.400336      1 0.000000
234163.103516 597712.353182      1 0.000000
234188.103326 597687.395977      1 0.000000
234213.102720 597662.358850      1 0.000000
234238.102616 597637.401749      1 0.000000
234263.101909 597612.354534      1 0.000000
234288.101721 597587.397397      1 0.000000
234313.101025 597562.360188      1 0.000000
234338.100908 597537.393102      1 0.000000
234363.100209 597512.356008      1 0.000000
234388.100012 597487.398799      1 0.000000
234413.099389 597462.361808      1 0.000000
234438.099183 597437.394640      1 0.000000
234463.098485 597412.357474      1 0.000000
234488.098280 597387.400333      1 0.000000
234513.097573 597362.353208      1 0.000000
234538.097454 597337.396181      1 0.000000
234563.106772 597312.358956      1 0.000000
234588.106568 597287.401874      1 0.000000
234613.105853 597262.354686      1 0.000000
234638.105645 597237.397568      1 0.000000
234663.105022 597212.360547      1 0.000000
234688.104714 597187.393329      1 0.000000
234713.104096 597162.356262      1 0.000000
234738.103881 597137.399222      1 0.000000
234763.103163 597112.352066      1 0.000000
234788.102943 597087.394980      1 0.000000
234813.102316 597062.357841      1 0.000000
234838.102013 597037.400869      1 0.000000
234863.101286 597012.353631      1 0.000000
234888.101068 596987.396623      1 0.000000
234913.100434 596962.359552      1 0.000000
234938.100116 596937.392435      1 0.000000
234938.101094 596912.354118      1 0.000000
234938.102557 596887.395837      1 0.000000
234963.101918 596862.358724      1 0.000000
234963.103422 596837.400446      1 0.000000
234988.102626 596812.353395      1 0.000000
235013.102347 596787.396292      1 0.000000
235038.101642 596762.359268      1 0.000000
235038.103177 596737.400847      1 0.000000
235063.102424 596712.353743      1 0.000000
